Name,Paraffinic CH3,Paraffinic CH2,Paraffinic CH,Olefinic -CH=CH2,Naphthenic CH-CH2,Aromatic C-CH,Alcoholic OH,Ether O,Aldehydic CHO,Ketonic CO,Ester COO,MW,BI,FP,Predicted FP
methylcyclohexane,15.30612245,0,0,0,84.69387755,0,0,0,0,0,0,98,0.5,269,271.44
4-Ethenylcyclohexene (4-Vinylcyclohexene),0,0,0,49.07407407,50.92592593,0,0,0,0,0,0,108,0.5,289,291.40
cyclooctene,0,0,0,23.63636364,76.36363636,0,0,0,0,0,0,110,0.5,298,298.94
1-methylcycloheptene,13.63636364,0,0,22.72727273,63.63636364,0,0,0,0,0,0,110,0.5,293.6,294.23
1-ethylcyclohexene,13.63636364,12.72727273,0,22.72727273,50.90909091,0,0,0,0,0,0,110,0.5,292.2,290.39
"1,2-dimethylcyclohexene",27.27272727,0,0,21.81818182,50.90909091,0,0,0,0,0,0,110,0.5,289.8,283.87
3-ethylcyclohexene,13.63636364,12.72727273,0,23.63636364,50,0,0,0,0,0,0,110,0.5,285.9,289.93
"4,4-dimethylcyclohexene",27.27272727,0,0,23.63636364,49.09090909,0,0,0,0,0,0,110,0.5,275.7,283.13
"cis-1,2-Dimethylcyclohexane",26.78571429,0,0,0,73.21428571,0,0,0,0,0,0,112,0.5,289,286.21
cyclooctane,0,0,0,0,100,0,0,0,0,0,0,112,0.5,301,301.98
ethylcyclohexane,13.39285714,12.5,0,0,74.10714286,0,0,0,0,0,0,112,0.5,308,302.30
"1,3-dimethylcyclohexane",26.78571429,0,0,0,73.21428571,0,0,0,0,0,0,112,0.666666667,282.4,286.02
"1,4-dimethylcyclohexane",26.78571429,0,0,0,73.21428571,0,0,0,0,0,0,112,0.833333333,289,285.83
"1,1-dimethylcyclohexane",26.78571429,0,0,0,73.21428571,0,0,0,0,0,0,112,0.5,280.2,286.21
N-propylcyclopentane,13.39285714,25,0,0,61.60714286,0,0,0,0,0,0,112,0.5,289,293.19
N-butylcyclopentane,11.9047619,33.33333333,0,0,54.76190476,0,0,0,0,0,0,126,0.5,305,308.00
propylcyclohexane,11.9047619,22.22222222,0,0,65.87301587,0,0,0,0,0,0,126,0.5,304,310.02
isopropylcyclohexane,23.80952381,0,10.31746032,0,65.87301587,0,0,0,0,0,0,126,0.833333333,308,310.11
"1,2,3-trimethylcyclohexane",35.71428571,0,0,0,64.28571429,0,0,0,0,0,0,126,1,300.9,300.79
"1,3,5-trimethylcyclohexane",35.71428571,0,0,0,64.28571429,0,0,0,0,0,0,126,1.166666667,300.9,300.54
(2-methylpropyl)cyclopentane,23.80952381,11.11111111,10.31746032,0,54.76190476,0,0,0,0,0,0,126,0.75,304.5,304.65
