Name,Paraffinic CH3,Paraffinic CH2,Paraffinic CH,Olefinic -CH=CH2,Naphthenic CH-CH2,Aromatic C-CH,Alcoholic OH,Ether O,Aldehydic CHO,Ketonic CO,Ester COO,MW,BI,FP
1-decene,10.71428571,70,0,19.28571429,0,0,0,0,0,0,0,140,0,320
1-dodecene,8.928571429,75,0,16.07142857,0,0,0,0,0,0,0,168,0,352
"2,2,4,6,6-pentamethyl-3-Heptene",62.5,8.333333333,0,14.88095238,0,0,0,0,0,0,0,168,0.857142857,320.1
cyclopentene,0,0,0,38.23529412,61.76470588,0,0,0,0,0,0,68,0.5,244
cyclopentane,0,0,0,0,100,0,0,0,0,0,0,70,0.5,248
cyclohexene,0,0,0,31.70731707,68.29268293,0,0,0,0,0,0,82,0.5,261
1-methylcyclopentene,18.29268293,0,0,30.48780488,51.2195122,0,0,0,0,0,0,82,0.5,255.85
cyclohexane,0,0,0,0,100,0,0,0,0,0,0,84,0.5,253
Ethylcyclobutane,17.85714286,16.66666667,0,0,65.47619048,0,0,0,0,0,0,84,0.5,258
methylcyclopentane,17.85714286,0,0,0,82.14285714,0,0,0,0,0,0,84,0.5,244
4-Methylcyclohexene,15.625,0,0,27.08333333,57.29166667,0,0,0,0,0,0,96,0.5,272
1-methyl-1-cyclohexene,15.625,0,0,26.04166667,58.33333333,0,0,0,0,0,0,96,0.5,269.85
cycloheptene,0,0,0,27.08333333,72.91666667,0,0,0,0,0,0,96,0.5,267
3-methylcyclohexene,15.625,0,0,27.08333333,57.29166667,0,0,0,0,0,0,96,0.5,270
cycloheptane,0,0,0,0,100,0,0,0,0,0,0,98,0.5,279
methylcyclohexane,15.30612245,0,0,0,84.69387755,0,0,0,0,0,0,98,0.5,269
4-Ethenylcyclohexene (4-Vinylcyclohexene),0,0,0,49.07407407,50.92592593,0,0,0,0,0,0,108,0.5,289
cyclooctene,0,0,0,23.63636364,76.36363636,0,0,0,0,0,0,110,0.5,298
1-methylcycloheptene,13.63636364,0,0,22.72727273,63.63636364,0,0,0,0,0,0,110,0.5,293.6
1-ethylcyclohexene,13.63636364,12.72727273,0,22.72727273,50.90909091,0,0,0,0,0,0,110,0.5,292.2
"1,2-dimethylcyclohexene",27.27272727,0,0,21.81818182,50.90909091,0,0,0,0,0,0,110,0.5,289.8
3-ethylcyclohexene,13.63636364,12.72727273,0,23.63636364,50,0,0,0,0,0,0,110,0.5,285.9
"4,4-dimethylcyclohexene",27.27272727,0,0,23.63636364,49.09090909,0,0,0,0,0,0,110,0.5,275.7
"cis-1,2-Dimethylcyclohexane",26.78571429,0,0,0,73.21428571,0,0,0,0,0,0,112,0.5,289
cyclooctane,0,0,0,0,100,0,0,0,0,0,0,112,0.5,301
ethylcyclohexane,13.39285714,12.5,0,0,74.10714286,0,0,0,0,0,0,112,0.5,308
"1,3-dimethylcyclohexane",26.78571429,0,0,0,73.21428571,0,0,0,0,0,0,112,0.666666667,282.4
"1,4-dimethylcyclohexane",26.78571429,0,0,0,73.21428571,0,0,0,0,0,0,112,0.833333333,289
"1,1-dimethylcyclohexane",26.78571429,0,0,0,73.21428571,0,0,0,0,0,0,112,0.5,280.2
N-propylcyclopentane,13.39285714,25,0,0,61.60714286,0,0,0,0,0,0,112,0.5,289
N-butylcyclopentane,11.9047619,33.33333333,0,0,54.76190476,0,0,0,0,0,0,126,0.5,305
propylcyclohexane,11.9047619,22.22222222,0,0,65.87301587,0,0,0,0,0,0,126,0.5,304
isopropylcyclohexane,23.80952381,0,10.31746032,0,65.87301587,0,0,0,0,0,0,126,0.833333333,308
"1,2,3-trimethylcyclohexane",35.71428571,0,0,0,64.28571429,0,0,0,0,0,0,126,1,300.9
"1,3,5-trimethylcyclohexane",35.71428571,0,0,0,64.28571429,0,0,0,0,0,0,126,1.166666667,300.9
(2-methylpropyl)cyclopentane,23.80952381,11.11111111,10.31746032,0,54.76190476,0,0,0,0,0,0,126,0.75,304.5
1-ethyl-2-methylcyclohexane,23.80952381,11.11111111,0,0,65.07936508,0,0,0,0,0,0,126,0.5,304.9
"1,1,2-trimethylcyclohexane",35.71428571,0,0,0,64.28571429,0,0,0,0,0,0,126,0.833333333,298.2
"1,1,3,3-tetramethylcyclopentane",47.61904762,0,0,0,52.38095238,0,0,0,0,0,0,126,1.166666667,290.9
1-tert-butyl-1-cyclohexene,32.60869565,0,0,18.11594203,40.57971014,0,0,0,0,0,0,138,1.166666667,300.9
Cis-decalin,0,0,0,0,100,0,0,0,0,0,0,136,1,330.8
1-pentylcyclopentene,10.86956522,40.57971014,0,18.11594203,30.43478261,0,0,0,0,0,0,138,0.5,324.3
butylcyclohexane,10.71428571,30,0,0,59.28571429,0,0,0,0,0,0,140,0.5,321
decylcyclopentane,7.142857143,60,0,0,32.85714286,0,0,0,0,0,0,210,0.5,404
benzene,0,0,0,0,0,100,0,0,0,0,0,78,1,262
toluene,16.30434783,0,0,0,0,83.69565217,0,0,0,0,0,92,1,277
styrene,0,0,0,25.96153846,0,74.03846154,0,0,0,0,0,104,1,304
ethylbenzene,14.1509434,13.20754717,0,0,0,72.64150943,0,0,0,0,0,106,1,294
"1,3-dimethylbenzene",28.30188679,0,0,0,0,71.69811321,0,0,0,0,0,106,1.166666667,298
"1,4-dimethylbenzene",28.30188679,0,0,0,0,71.69811321,0,0,0,0,0,106,1.333333333,298
"1,2-dimethylbenzene",28.30188679,0,0,0,0,71.69811321,0,0,0,0,0,106,1,305
Isopropenylbenzene,12.71186441,0,0,22.03389831,0,65.25423729,0,0,0,0,0,118,1.333333333,327
cyclopropylbenzene,0,0,0,0,34.74576271,65.25423729,0,0,0,0,0,118,1.5,316.9
"1,2,3-trimethylbenzene",37.5,0,0,0,0,62.5,0,0,0,0,0,120,1.5,317
"1,3,5-trimethylbenzene",37.5,0,0,0,0,62.5,0,0,0,0,0,120,1.666666667,323
1-ethyl-2-methylbenzene,25,11.66666667,0,0,0,63.33333333,0,0,0,0,0,120,1,312.4
propylbenzene,12.5,23.33333333,0,0,0,64.16666667,0,0,0,0,0,120,1,303
isopropylbenzene,25,0,10.83333333,0,0,64.16666667,0,0,0,0,0,120,1.333333333,309
1-ethyl-3-methylBenzene,25,11.66666667,0,0,0,63.33333333,0,0,0,0,0,120,1.125,311
1-ethyl-4-methylBenzene,25,11.66666667,0,0,0,63.33333333,0,0,0,0,0,120,1.25,309
naphthalene,0,0,0,0,0,100,0,0,0,0,0,128,2,352
tetralin,0,0,0,0,42.42424242,57.57575758,0,0,0,0,0,132,1.5,350
Isobutyl benzene,33.58208955,0,0,0,0,57.46268657,0,0,0,0,0,134,1.666666667,328
"1,4-diethyl-Benzene",22.3880597,20.89552239,0,0,0,56.71641791,0,0,0,0,0,134,1.25,329.7
(1-methylpropyl)-Benzene,22.3880597,10.44776119,9.701492537,0,0,57.46268657,0,0,0,0,0,134,1.25,325
1-methyl-2-(1-methylethyl)-Benzene,33.58208955,0,9.701492537,0,0,56.71641791,0,0,0,0,0,134,1.25,323
1-methyl-4-propylbenzene,22.3880597,20.89552239,0,0,0,56.71641791,0,0,0,0,0,134,1.2,329.3
1-methyl-4-(1-methylethyl)-Benzene,33.58208955,0,9.701492537,0,0,56.71641791,0,0,0,0,0,134,1.5,320.2
"1-ethyl-2,3-dimethylBenzene",33.58208955,10.44776119,0,0,0,55.97014925,0,0,0,0,0,134,1.375,338
"1-ethyl-2,4-dimethylBenzene",33.58208955,10.44776119,0,0,0,55.97014925,0,0,0,0,0,134,1.5,330
1-methyl-2-propylBenzene,22.3880597,20.89552239,0,0,0,56.71641791,0,0,0,0,0,134,1,326
1-methyl-3-propylBenzene,22.3880597,20.89552239,0,0,0,56.71641791,0,0,0,0,0,134,1.1,325
"2-ethyl-1,3-dimethylbenzene",33.58208955,10.44776119,0,0,0,55.97014925,0,0,0,0,0,134,1.375,331
"2-ethyl-1,4-dimethylBenzene",33.58208955,10.44776119,0,0,0,55.97014925,0,0,0,0,0,134,1.5,329
"1,2,3,4-tetramethylbenzene",44.7761194,0,0,0,0,55.2238806,0,0,0,0,0,134,2,347
"1,2,3,5-tetramethylbenzene",44.7761194,0,0,0,0,55.2238806,0,0,0,0,0,134,2,344
"1,2-diethylbenzene",22.3880597,20.89552239,0,0,0,56.71641791,0,0,0,0,0,134,1,330
1-isopropyl-4-methylbenzene,33.58208955,0,9.701492537,0,0,56.71641791,0,0,0,0,0,134,1.5,320
"1,3-diethylbenzene",22.3880597,20.89552239,0,0,0,56.71641791,0,0,0,0,0,134,1.1,330
n-butylbenzene,11.19402985,31.34328358,0,0,0,57.46268657,0,0,0,0,0,134,1,332
tert-butylbenzene,33.58208955,0,0,0,0,57.46268657,0,0,0,0,0,134,1.666666667,333
1-Methyl-3-(1-methylethyl)benzene,33.58208955,0,9.701492537,0,0,56.71641791,0,0,0,0,0,134,1.375,323
1-methylnaphthalene,10.56338028,0,0,0,0,89.43661972,0,0,0,0,0,142,2,355
